Date	Open	High	Low	Close / Last	Volume
03/20/2018	175.24	176.8	174.94	175.24	19,620,520
03/19/2018	177.32	177.47	173.66	175.3	32,931,110
03/16/2018	178.65	179.12	177.62	178.02	38,313,330
03/15/2018	178.5	180.24	178.0701	178.65	22,676,520
03/14/2018	180.32	180.52	177.81	178.44	29,334,630
03/13/2018	182.59	183.5	179.24	179.97	31,464,170
03/12/2018	180.29	182.39	180.21	181.72	32,191,070
03/09/2018	177.96	180	177.39	179.98	32,130,360
03/08/2018	175.48	177.12	175.07	176.94	24,518,850
03/07/2018	174.94	175.85	174.27	175.03	31,686,450
03/06/2018	177.91	178.25	176.13	176.67	23,273,160
03/05/2018	175.21	177.74	174.52	176.82	27,825,140
03/02/2018	172.8	176.3	172.45	176.21	38,426,060
03/01/2018	178.54	179.775	172.66	175	48,706,170
02/28/2018	179.26	180.615	178.05	178.12	37,568,080
02/27/2018	179.1	180.48	178.16	178.39	38,885,510
02/26/2018	176.35	179.39	176.21	178.97	37,353,670
02/23/2018	173.67	175.65	173.54	175.5	33,772,050
02/22/2018	171.8	173.95	171.71	172.5	30,953,760
02/21/2018	172.83	174.12	171.01	171.07	37,378,070
02/20/2018	172.05	174.26	171.42	171.85	33,690,660
02/16/2018	172.36	174.82	171.77	172.43	40,113,790
02/15/2018	169.79	173.09	169	172.99	50,908,540
02/14/2018	163.045	167.54	162.88	167.37	40,382,890
02/13/2018	161.95	164.75	161.65	164.34	32,483,310
02/12/2018	158.5	163.89	157.51	162.71	60,774,900
02/09/2018	157.07	157.89	150.24	156.41	70,583,530
02/08/2018	160.29	161	155.03	155.15	54,145,930
02/07/2018	163.085	163.4	159.0685	159.54	51,467,440
02/06/2018	154.83	163.72	154	163.03	68,171,940
02/05/2018	159.1	163.88	156	156.49	72,215,320
02/02/2018	166	166.8	160.1	160.5	85,957,050
02/01/2018	167.165	168.62	166.76	167.78	44,453,230
01/31/2018	166.87	168.4417	166.5	167.43	32,234,520
01/30/2018	165.525	167.37	164.7	166.97	45,635,470
01/29/2018	170.16	170.16	167.07	167.96	50,565,420
01/26/2018	172	172	170.06	171.51	39,075,250
01/25/2018	174.505	174.95	170.53	171.11	41,438,280
01/24/2018	177.25	177.3	173.2	174.22	51,368,540
01/23/2018	177.3	179.44	176.82	177.04	32,395,870
01/22/2018	177.3	177.78	176.6016	177	27,052,000
01/19/2018	178.61	179.58	177.41	178.46	31,306,390
01/18/2018	179.37	180.1	178.25	179.26	31,087,330
