lat,long,class
25.004546,121.518724,普通
24.999301,121.519173,機車
24.999301,121.519173,機車
25.009178,121.520484,普通
25.012061,121.514884,機車
25.003893,121.525818,普通
25.008479,121.509789,機車
25.006176,121.514473,普通
24.996263,121.52226,普通
25.008573,121.517738,普通
25.01393,121.517848,普通
25.003577,121.513599,普通
25.006389,121.52559,普通
25.004856,121.51733,機車
25.004415,121.512747,機車
24.999481,121.519497,普通
25.000769,121.52106,普通
25.004599,121.519281,機車
25.012277,121.521405,普通
25.015407,121.512579,普通
25.00987,121.502982,機車
25.006623,121.520372,普通
25.00811,121.508452,普通
25.007858,121.520515,機車
25.012142,121.521845,普通
25.009914,121.521458,普通
25.005765,121.509162,普通
25.008613,121.513931,普通
25.00945,121.505627,普通
24.99779,121.525594,普通
24.998509,121.526233,機車
25.000713,121.524484,普通
25.005544,121.508794,普通
24.997083,121.521571,機車
25.001352,121.516731,普通
24.997135,121.515234,普通
25.012855,121.506728,普通
24.996836,121.522624,普通
25.002087,121.515959,普通
25.008798,121.51669,機車
25.009532,121.506094,普通
25.020704,121.516215,普通
25.007626,121.510595,普通
25.005395,121.512015,普通
25.005395,121.512015,普通
25.012122,121.517749,普通
25.01098,121.514614,普通
25.009872,121.500877,普通
25.005395,121.512015,普通
25.020704,121.516215,普通
25.020704,121.516215,普通
25.020704,121.516215,普通
25.000454,121.52884,普通
24.995687,121.514273,普通
25.009499,121.519043,普通
25.010026,121.516337,普通
25.010162,121.501227,機車
25.009563,121.50435,機車
25.005133,121.525293,機車
24.997215,121.526486,機車
24.996359,121.526655,普通
25.00449,121.518229,普通
25.000098,121.508621,機車
25.012216,121.51687,機車
25.007824,121.514654,機車
25.006973,121.509913,普通
25.000313,121.526254,普通
25.009976,121.513636,普通
25.002821,121.520716,機車
24.997298,121.514954,機車
25.006638,121.506956,機車
25.003823,121.51744,機車
25.00883,121.512937,普通
25.008957,121.513293,普通
24.998315,121.520189,普通
25.001403,121.521795,普通
25.010847,121.51267,機車
25.006429,121.526544,機車
25.006429,121.526544,機車
25.004175,121.522264,機車
25.003324,121.52086,機車
24.997153,121.516089,機車
25.007853,121.52047,普通
25.009397,121.510753,機車
25.006384,121.516963,普通
25.002145,121.517887,普通
25.011636,121.517106,機車
25.011069,121.514646,機車
25.010637,121.513706,機車
25.00473,121.523531,機車
25.000043,121.517807,機車
24.997189,121.515266,機車
25.010519,121.51697,普通
25.012973,121.510452,普通
25.01102,121.5149,機車
25.00821,121.525283,普通
25.013519,121.516728,普通
25.013519,121.516728,普通
25.013519,121.516728,普通
25.009893,121.510185,普通
25.004796,121.525645,普通
25.014054,121.51402,普通
25.007975,121.513263,機車
24.996681,121.515138,機車
24.996179,121.518059,機車
25.010215,121.520525,普通
25.007337,121.511076,機車
25.001156,121.517188,機車
25.015915,121.507663,汽車
25.000067,121.522024,普通
25.004373,121.526931,機車
25.000534,121.506867,機車
24.997146,121.518551,汽車
24.99538,121.515373,普通
25.000711,121.519572,普通
25.001322,121.520442,普通
25.000559,121.519607,普通
25.00883,121.512937,機車
25.007148,121.51032,機車
24.99964,121.517369,普通
24.999305,121.518709,機車
25.004084,121.522465,普通
25.017272,121.518597,汽車
25.015929,121.516499,機車
25.007336,121.518115,機車
25.005632,121.51079,機車
25.001939,121.526662,機車
25.000829,121.517942,機車
24.997258,121.515649,機車
24.906292,121.361158,機車
24.999355,121.525491,普通
25.008506,121.523815,普通
25.006174,121.526489,普通
25.006268,121.516266,普通
24.997626,121.519154,普通
25.001246,121.522185,普通
25.002397,121.528069,普通
25.010202,121.514314,普通
25.014218,121.515368,普通
25.014767,121.508595,機車
25.013623,121.514973,機車
25.010038,121.510774,機車
25.008871,121.517314,機車
24.998928,121.524077,普通
25.009692,121.509819,普通
25.015413,121.518353,普通
25.010937,121.515782,機車
25.010795,121.50195,機車
24.994949,121.513662,普通
25.00247,121.510756,普通
25.014968,121.508468,機車
25.01427,121.521091,機車
25.011201,121.514969,機車
25.007144,121.506474,機車
25.006833,121.517152,機車
25.001911,121.518881,機車
25.006586,121.510906,普通
24.999199,121.516963,普通
25.002798,121.528217,普通
25.010543,121.521653,普通
25.005879,121.519783,普通
25.012733,121.512295,機車
25.007549,121.511229,機車
25.001553,121.527114,機車
25.00029,121.523864,汽車
25.015419,121.518155,普通
25.015431,121.517465,普通
25.002326,121.510586,普通
25.005454,121.527579,機車
25.002483,121.523947,機車
24.994185,121.513739,機車
25.008979,121.501172,普通
25.006378,121.510989,普通
25.000756,121.515713,普通
25.013637,121.507269,機車
25.011821,121.516465,機車
25.010416,121.504611,機車
25.006382,121.506812,機車
25.001623,121.519225,機車
25.000161,121.525649,機車
25.004399,121.523121,普通
25.003019,121.517561,普通
25.009365,121.514408,機車
25.008573,121.51419,機車
25.004031,121.515085,機車
25.004415,121.512747,普通
24.995944,121.515252,普通
25.007803,121.520011,普通
25.007023,121.524242,普通
25.006984,121.528595,普通
25.005851,121.519396,普通
25.012571,121.509452,機車
25.00772,121.517651,機車
25.00303,121.522942,機車
24.999406,121.518732,普通
25.009685,121.522718,普通
25.010438,121.513334,普通
25.011464,121.514746,機車
25.000525,121.526144,機車
25.010258,121.503797,普通
25.013861,121.513522,普通
25.015345,121.518361,機車
25.007793,121.521935,機車
25.007484,121.516822,機車
24.99964,121.517369,普通
25.007837,121.507646,普通
25.00407,121.512157,機車
25.002328,121.527961,機車
25.006434,121.517181,普通
25.005739,121.512171,普通
25.007954,121.513675,機車
25.004232,121.515815,機車
25.017527,121.517023,汽車
25.012018,121.517707,普通
25.005891,121.524938,普通
25.010519,121.523892,機車
25.009864,121.510561,機車
25.008202,121.508751,機車
25.00393,121.515992,機車
25.003704,121.527103,機車
25.000067,121.522024,機車
25.013519,121.516728,普通
25.009036,121.514309,普通
25.012188,121.511711,普通
25.003267,121.509575,普通
25.008726,121.505642,機車
25.002219,121.52081,機車
24.998498,121.516042,機車
25.00744,121.518526,普通
24.999508,121.51925,普通
24.998156,121.521236,普通
25.007816,121.510824,機車
25.010337,121.51768,普通
25.003024,121.519859,普通
25.013739,121.512091,機車
25.011562,121.516859,機車
25.011105,121.511084,機車
25.009884,121.522353,機車
25.008053,121.505717,機車
25.007636,121.520474,機車
25.007837,121.507646,普通
24.997502,121.517077,普通
24.99748,121.517224,普通
24.9996,121.523827,普通
25.006271,121.51548,普通
25.007689,121.514791,機車
25.006314,121.510889,機車
25.005185,121.520123,機車
25.004258,121.515946,機車
25.013519,121.516728,普通
25.004415,121.512747,普通
25.011479,121.514342,機車
25.007285,121.519098,機車
25.007075,121.516559,機車
25.001455,121.525518,機車
25.000286,121.526453,機車
25.012233,121.511247,普通
25.005286,121.526744,機車
25.000867,121.525519,機車
24.997495,121.524682,機車
24.995426,121.526781,機車
25.008565,121.512742,普通
25.007728,121.514017,機車
25.00009,121.521814,機車
24.999218,121.523039,機車
